blocktime,block_slot,hash,player,raw_player,deposit,fee,fee_usd,token_balance_change,cumulative_deposit
2025-02-22 02:05:29.000 UTC,3.22247735e+08,"<a href=""https://solscan.io/tx/5LfHKQZgRuuFzY7kWWm6AhMX1aEHeimcugrP3LibdkP7k1fBJNoh1BukuTEXXDN8Jn5cddBdHnhnaau4MPs44Fp5"" target=_blank"">5LfHK...</a>","<a href=""https://solscan.io/account/2ETkaSobrijrPppGTafp8gG6rpX49PAdwaFeMNAGoKw8"" target=_blank"">2ETka...</a>",2ETkaSobrijrPppGTafp8gG6rpX49PAdwaFeMNAGoKw8,0.25,0.0125,2.150803926749604,<nil>,1580
2025-02-22 01:43:44.000 UTC,3.22244439e+08,"<a href=""https://solscan.io/tx/AK12vGHhJaRsA6eKqYeuk4kgT2WqfTKfU1wxb58qPC7uHuqeqVpSmsTCMZ612aWj1PjW3X8SH5FcWLBTTCB56Cv"" target=_blank"">AK12v...</a>","<a href=""https://solscan.io/account/9VGVMrZ2f88Rw71CsPe999DECCyatK6HJdDuhEKyuXCB"" target=_blank"">9VGVM...</a>",9VGVMrZ2f88Rw71CsPe999DECCyatK6HJdDuhEKyuXCB,0.25,0.0125,2.1556953565030157,<nil>,1579.75
2025-02-22 00:07:38.000 UTC,3.22229869e+08,"<a href=""https://solscan.io/tx/gscEv81hySmm2BEnSQXdZzyqixjeL1TtYpvgXPfmEHowVDbdFySG6bwoyxo2XqHUeToZkXo57853AFevT85aEG4"" target=_blank"">gscEv...</a>","<a href=""https://solscan.io/account/DH3s5SuXYBfJyfkdRjLmunL7K895zAg11KBzhmzg1Qif"" target=_blank"">DH3s5...</a>",DH3s5SuXYBfJyfkdRjLmunL7K895zAg11KBzhmzg1Qif,0.25,0.0125,2.129769983321174,<nil>,1579.5
2025-02-21 23:26:48.000 UTC,3.22223657e+08,"<a href=""https://solscan.io/tx/5n3WwmWpBj2fjtKspcTF4M4xwT6unvb6AxyZUA9FdyZHS9qnHPA585qTGhC3GPv6ukrCm3ZmKB6e2J4Hc1mgLBvr"" target=_blank"">5n3Ww...</a>","<a href=""https://solscan.io/account/G7f7PLcDyEQgufQiYNuPYwqXC6D8pVxtXqNJ6XkXJz85"" target=_blank"">G7f7P...</a>",G7f7PLcDyEQgufQiYNuPYwqXC6D8pVxtXqNJ6XkXJz85,0.25,0.0125,2.115752709262633,<nil>,1579.25
2025-02-21 23:15:52.000 UTC,3.22221995e+08,"<a href=""https://solscan.io/tx/4pT37JxGAvz35paaYWUyxP6f8L6pxKF5hoXA3woKCkJcJQ9H8f4aSN7Qt1iCLozKPCpdk21C9rWv6Q7YTTFkkkUp"" target=_blank"">4pT37...</a>","<a href=""https://solscan.io/account/HLYHpWAQbBNPh3GEGETVCVf2VCaz5DQhcrMsAVifNjaX"" target=_blank"">HLYHp...</a>",HLYHpWAQbBNPh3GEGETVCVf2VCaz5DQhcrMsAVifNjaX,0.25,0.0125,2.115752709262633,<nil>,1579
2025-02-21 21:27:43.000 UTC,3.22205573e+08,"<a href=""https://solscan.io/tx/2nW9m3AnNB5HkGSV4CTs6dYEP6g1tYLMrW6yvmiUEwfPgDP1rJb7EaXVi19fGnEsjcUUrs6ZeERYaeLDKSHjTrhZ"" target=_blank"">2nW9m...</a>","<a href=""https://solscan.io/account/2NR54unz7LZdCPGQRNGbGzFNuMw8huh41wc4kwtL2YcP"" target=_blank"">2NR54...</a>",2NR54unz7LZdCPGQRNGbGzFNuMw8huh41wc4kwtL2YcP,0.25,0.0125,2.1114339913527576,<nil>,1578.75
2025-02-21 20:53:46.000 UTC,3.2220043e+08,"<a href=""https://solscan.io/tx/5Y1v6631rjksF5wX977wStPTjWwfJTtDR8GrgyK4W4ZeLHgyM7KSP9Dt4W8EcYSWVrs3gKd8TuDrRuZqKvbVHaxo"" target=_blank"">5Y1v6...</a>","<a href=""https://solscan.io/account/DGB27FSTRMqdD6WEEFCQAvn62xLshziaSfJANrXnNMNo"" target=_blank"">DGB27...</a>",DGB27FSTRMqdD6WEEFCQAvn62xLshziaSfJANrXnNMNo,0.25,0.0125,2.1207718377744293,<nil>,1578.5
2025-02-21 20:49:05.000 UTC,3.22199724e+08,"<a href=""https://solscan.io/tx/2iCqCQHXdLLNUmfxWAtXYkVyS3bnwHKXqtsubZxsPXpqsNqRo8Gf7e1CPo5K71zBgjzA4uS6xuzxsKZu6x7SiNhD"" target=_blank"">2iCqC...</a>","<a href=""https://solscan.io/account/xuGVgfM9MQmpo4TmueELud5qC7hXMDuW2WTPTKcaPfD"" target=_blank"">xuGVg...</a>",xuGVgfM9MQmpo4TmueELud5qC7hXMDuW2WTPTKcaPfD,0.25,0.0125,2.1207718377744293,<nil>,1578.25
2025-02-21 20:10:31.000 UTC,3.22193875e+08,"<a href=""https://solscan.io/tx/59gCMfXekzca1xLies62DMedE4eXUCHdMaf7jo4GBdoJh8mR11eqJnuNXGRJmxbWggNfCwfVCxFu8VkxqCjvSYLn"" target=_blank"">59gCM...</a>","<a href=""https://solscan.io/account/EyfzFybimxApe1RxcwvjDXoMM73Dk1yHExfG7PvszD6U"" target=_blank"">EyfzF...</a>",EyfzFybimxApe1RxcwvjDXoMM73Dk1yHExfG7PvszD6U,0.25,0.0125,2.1207718377744293,<nil>,1578
2025-02-21 20:06:58.000 UTC,3.22193338e+08,"<a href=""https://solscan.io/tx/5m5QtgEh7AmkUnjDiiRhqHtShdqxP3cHdtjCiH8w4wCMZkGHsjxYbthaQVmuRPmGHSUEUraJ2ZWowvqW5D4MwWZe"" target=_blank"">5m5Qt...</a>","<a href=""https://solscan.io/account/44XgiUPfRfnGHWRyJw8inYds7o1qr7RdFpJsK4DysJga"" target=_blank"">44Xgi...</a>",44XgiUPfRfnGHWRyJw8inYds7o1qr7RdFpJsK4DysJga,0.25,0.0125,2.1207718377744293,<nil>,1577.75
